stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
3431,2463011-06602,"Chorzów Stary Zakłady Azotowe",50.3171885900,18.9810323500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-06602/"
4724,2478011-12602t,"Guido Kopalnia Zabytkowa",50.2908881100,18.7918615100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-12602t/"
6776,2410032-00204,"Wola Dom Kultury",50.0162742800,19.1168272200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2410032-00204/"
3545,2475011-12302,"Sosnowiec Dworzec PKP",50.2779902300,19.1269874300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-12302/"
5344,2401062-05702,"Góra Siewierska Droga do Twardowic nż",50.4062610700,19.0861058200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401062-05702/"
8384,2478011-18001,"Grzybowice Handlowa Zachód",50.3543120500,18.7564670800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-18001/"
3797,2413021-00402,"Miasteczko Śląskie Droga do Huty nż",50.4954770900,18.9271735900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413021-00402/"
2653,2401042-03902,"Siemonia Piekarnia nż",50.4269472800,19.0557405400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401042-03902/"
4366,2465011-01302t,"Dąbrowa Górnicza Huta Bankowa",50.3250764200,19.1744348900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-01302t/"
648,2475011-10902,"Sielec Droga do Środuli nż",50.2879149200,19.1574503800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-10902/"
2006,2413041-04201,"Tarnowskie Góry Osiedle Fazos",50.4527626300,18.8394662200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413041-04201/"
11675,2462011-11702t,"Stroszek Targowisko",50.3953738600,18.8790607400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-11702t/"
3793,2413041-02301,"Pniowiec Dom Nauczyciela",50.4914221600,18.8111734100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413041-02301/"
8463,2478011-20601,"Grzybowice Handlowa Wschód",50.3525322100,18.7670886300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-20601/"
3636,2401021-02001,"Czeladź Urząd Miasta",50.3163048400,19.0704679200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401021-02001/"
4361,2465011-02501t,"Gołonóg Centrum",50.3339535600,19.2240941300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-02501t/"
10556,2469011-21302,"Osiedle Witosa Droga Kochłowicka",50.2565527100,18.9717482100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-21302/"
3226,2469011-06902,"Józefowiec Ściegiennego",50.2777189900,19.0084505000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-06902/"
3204,2466011-07201,"Gliwice Warszawska",50.3055411700,18.6780023500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-07201/"
5384,2475011-09603,"Porąbka Łukasiewicza",50.2799469900,19.2227422900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-09603/"
7157,2413041-01402,"Sowice Czarna Huta",50.4601983000,18.8667058700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413041-01402/"
11689,2472011-01601t,"Bykowina Mijanka",50.2737829400,18.8907599200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-01601t/"
5253,2469011-01301,"Katowice Mikołowska Sąd",50.2567196400,19.0130042800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-01301/"
2590,2475011-10501,"Rudna Gospodarcza II",50.2948156000,19.1211294900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-10501/"
1453,2401011-05701t,"Koszelew",50.3221989800,19.1566633900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-05701t/"
4344,2475011-11502t,"Sielec Szkolna",50.2815602600,19.1479864600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-11502t/"
759,2472011-02701,"Godula Osiedle",50.3152363800,18.8775694300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-02701/"
1309,2475011-03401,"Klimontów Basen",50.2755740000,19.1963180000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-03401/"
6401,2477011-17902,"Wartogłowiec Beskidzka",50.1259541800,19.0232932300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-17902/"
2184,2469011-21902,"Panewniki Bałtycka",50.2277710400,18.9282846400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-21902/"
375,2472011-01401,"Bykowina Gwarecka",50.2680021300,18.8948905200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-01401/"
4494,2469011-25902,"Wełnowiec Plac Alfreda",50.2927217100,19.0157355000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-25902/"
571,2475011-00501,"Dańdówka Dworzec PKP",50.2660090000,19.1749240000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-00501/"
6598,2408011-02502,"Brada Przysiółki",50.1539776900,18.8209259300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2408011-02502/"
11690,2472011-01602t,"Bykowina Mijanka",50.2737829400,18.8908028300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-01602t/"
